eva,decoded,language
opshey,HEC,occitan
lkey,GENUS,latin
olchdar,DARE,latin
opchaly,ALS,occitan
chpchedy,DEUS,latin
doteey,LIS,latin
dytey,QUAS,latin
chlaiiin,AMARA,latin
chchky,DECUS,latin
ltaiin,CUM,latin
lchear,DECOR,latin
doraiin,FORMA,latin
dolcheedy,DIUS,latin
ldchey,DES,occitan
ololdal,DICIT,latin
chchty,SIC,latin
drol,ROTA,latin
opaly,ALS,occitan
pykedy,QUALIS,latin
lolkedy,GENUS,latin
dchokol,OPTAT,latin
psheedy,HUIUS,latin
chyteey,QUIES,latin
polkeey,FACITIS,latin
olorol,FORAT,latin
qokechey,NOCIS,latin
pshdy,HIS,occitan
dkeey,BIS,latin
pdol,LAEDIT,latin
olotchedy,LAETUS,latin
oltain,TAIN,occitan
opcheeky,DICIS,latin
lolom,OM,latin
polchy,DIES,latin
polshdy,HIS,occitan
ololchey,DES,occitan
lchpchdy,DATUS,latin
lchedal,DICAT,latin
chechol,DEDIT,latin
olqo,NO,latin
lolol,FUIT,latin
dolol,FUIT,latin
kechey,BIS,latin
loraiin,FORMA,latin
chedchy,DEUS,latin
sheedchy,HUIUS,latin
chldaiin,OLEUM,latin
dolshed,HEU,latin
lldar,DICIT,latin
lols,FLOS,latin
opshed,HEU,latin
dorol,FORAT,latin
dokedy,FACITIS,latin
dolkedy,GENUS,latin
olokar,FOCAR,occitan
lolor,FLORA,latin
darchy,ARS,latin
pdsheody,HIRTUS,latin
ldo,ALBA,latin
polky,AC,occitan
dchdal,DAT,latin
olpchdy,DATUS,latin
opoiin,VINUM,latin
dchdor,LUX,latin
olcheos,DEOS,latin
chdchdy,DATUS,latin
opcho,DEO,latin
olair,AURUM,latin
oleey,IS,latin
lram,RAMUS,latin
ldaly,ALS,occitan
lchdol,LAEDIT,latin
lshechy,HEC,occitan
polkchy,BONUS,latin
ldaiiin,AMARA,latin
choltal,TAL,latin
lshar,HORA,latin
poldaiin,OLEUM,latin
pshody,HORTUS,latin
olpshy,HIC,latin
pchykar,QUARE,latin
ytechy,QUAS,latin
otcheol,LAETO,latin
techol,TERAT,latin
olsheody,HIRTUS,latin
pdan,LAN,latin
opodaiin,FUMUM,latin
loy,FAC,latin
opolsy,SIC,latin
dolchoy,DOSIS,latin
dolshy,HIC,latin
ytchchy,QUAS,latin
opshol,HABET,latin
podar,ODAR,occitan
olsain,SAIN,occitan
dolkain,BAIN,occitan
dolkchy,BONUS,latin
chokchor,FACERE,latin
chopcho,DEO,latin
dsheos,HABES,latin
oparal,AURAT,latin
opsho,HABE,occitan
doldam,DICERE,latin
dykchal,QUALE,latin
chopcheey,DIS,latin
qokcheol,NOCERAT,latin
dokor,FACERE,latin
olch,FUIT,latin
lshody,HORTUS,latin
oldeey,IS,latin
poaiin,FAMA,latin
rchol,ROTA,latin
ledy,EIUS,latin
qokechchy,NOCES,latin
shchdy,HIS,occitan
chechy,ES,latin
otechedy,LAETIS,latin
lokain,FOCAN,occitan
lotar,LAR,latin
oloraiin,FORMA,latin
lshor,HORAM,latin
olldy,ALIUS,latin
lpar,AD,latin
olsheedy,HUIUS,latin
keechdy,BIS,latin
oteechy,LIS,latin
okechol,FOCERAT,latin
okchechy,FOCES,latin
chopar,AD,latin
pcholor,FLORA,latin
olcheeo,DEO,latin
oltcheey,TUIS,latin
chdeey,IS,latin
polchechy,DES,occitan
qoeechdy,NOCITIS,latin
ycheechy,QUIS,latin
cholkchy,BONUS,latin
chpcheor,DECOR,latin
qchor,NOR,latin
chochs,OS,latin
lsair,SATUR,latin
olcho,DEO,latin
olpshedy,HEUS,latin
otcheos,LOCUS,latin
dchees,DEIS,latin
chdedy,EIUS,latin
olpcheey,DIS,latin
opcheo,DEO,latin
chdos,OS,latin
lraiin,REM,latin
oltchdy,THUS,latin
chopchdy,DATUS,latin
okcheeo,FACIO,latin
otcheedy,LAETIS,latin
shedchy,HEUS,latin
lpcheo,DEO,latin
lpchey,DES,occitan
dlchy,DIES,latin
chdaldy,LATUS,latin
lpaiin,AMARA,latin
lsheo,HUC,latin
olcham,DAM,latin
chotchedy,LAETUS,latin
kcheedy,BIS,latin
chpaiin,AMARA,latin
chykaiin,QUAM,latin
dlkal,CALE,latin
pcholkal,CALE,latin
lpcheedy,DIUS,latin
pokar,FOCAR,occitan
olpair,AURUM,latin
cheodchy,DECUS,latin
chsy,SIC,latin
chlam,AM,latin
polchal,AL,occitan
porol,FORAT,latin
qoeechy,NOIS,latin
chlal,AL,occitan
llchey,MEIS,latin
olaiiin,AMARA,latin
dchedar,DECOR,latin
lchechdy,MEUS,latin
opchedal,DICAT,latin
olchal,DAT,latin
qokeechey,NOCIS,latin
qochdaiin,NOVUM,latin
opchdal,DAT,latin
pcholkeedy,FACITIS,latin
okeechy,FACIS,latin
olchain,DANS,latin
pom,OM,latin
opchdar,DARE,latin
qochaiin,NOMEN,latin
chykeedy,QUALIS,latin
pchoraiin,FORMA,latin
opcheeo,DEO,latin
pched,DEUS,latin
qokchal,NOCAT,latin
lkchy,BONUS,latin
otchechy,LAS,occitan
chdo,ALBA,latin
okecheey,FACIES,latin
lkcheol,GERAT,latin
chaiiin,AMARA,latin
lkchor,GRADU,latin
loaiin,FAMA,latin
lcholkaiin,AM,latin
lodar,ODAR,occitan
chtchol,TERTIO,latin
pokeey,FACIS,latin
chcheey,DIS,latin
choltar,TARTARUM,latin
chotair,LAUR,latin
llor,LOR,occitan
chokair,FOCARI,latin
loar,FAR,latin
lsar,SARE,occitan
chdodaiin,FUMUM,latin
lair,AURUM,latin
lcheos,DEOS,latin
chcheky,DICIS,latin
olchedaiin,DEUM,latin
pchdal,DAT,latin
dchedain,DICAN,latin
olkeechdy,BIS,latin
dchedaiin,DEUM,latin
dolkeedy,FACITIS,latin
ykechey,QUAM,latin
chchdy,DATUS,latin
chsho,HABE,occitan
rchar,RARO,latin
qokchar,NOCAR,occitan
chpchar,DARE,latin
opchdain,LAIN,occitan
opoloiin,VINUM,latin
olchees,DEIS,latin
dpchedy,DEUS,latin
lkechdy,GENUS,latin
lchain,DANS,latin
opchees,DEIS,latin
chlor,LOR,occitan
chddy,ALIUS,latin
lcham,DAM,latin
ltchdy,THUS,latin
llchs,DES,occitan
lror,RORIS,latin
llory,FORS,latin
lrain,RAN,latin
dtal,TAL,latin
shechol,HERBA,latin
ollain,AN,occitan
dlar,AD,latin
lkechy,GENS,latin
orain,FRAN,occitan
qokair,NOCARI,latin
aldy,ALTUS,latin
okees,FACIS,latin
ycheo,QUEO,latin
qopchdy,DATUS,latin
qokeed,NOCUIT,latin
lo,LO,latin
shedaiin,OLEUM,latin
ykeody,QUALITAS,latin
ycheol,DEDIT,latin
cheeor,DICOR,latin
ly,ET,latin
oey,FECES,latin
sheeky,HIBIS,latin
ytain,TAIN,occitan
yteody,QUALITAS,latin
cheeody,DECUS,latin
ry,RES,latin
otody,LATUS,latin
shes,HABES,latin
rchy,RES,latin
dolody,FIDES,latin
otchody,LATUS,latin
ochey,FECES,latin
choey,FECES,latin
lochey,FECES,latin
pochaiin,FAMA,latin
dly,ET,latin
chorain,FRAN,occitan
pcheeody,DECUS,latin
chdalchdy,LATUS,latin
dolsain,SAIN,occitan
dotody,LATUS,latin
opshes,HABES,latin
dchdaldy,LATUS,latin
dorain,FRAN,occitan
chotody,LATUS,latin
opaldy,ALTUS,latin
alchdy,ALTUS,latin
dchsy,SIC,latin
chotchody,LATUS,latin
ykcheody,QUALITAS,latin
chdolaiin,FILUM,latin
olaldy,ALTUS,latin
dcheeody,DECUS,latin
ykechody,QUALITAS,latin
chly,ET,latin
chokees,FACIS,latin
chpsheedy,HUIUS,latin
porain,FRAN,occitan
dytain,TAIN,occitan
lcheeor,DICOR,latin
sheekchy,HIBIS,latin
chry,RES,latin
otodchy,LATUS,latin
chyteody,QUALITAS,latin
cholcham,DAM,latin
dshes,HABES,latin
ychtain,TAIN,occitan
pshedaiin,OLEUM,latin
llo,LO,latin
pochey,FECES,latin
opalchdy,ALTUS,latin
rchchy,RES,latin
lshes,HABES,latin
qoteol,NOCERAT,latin
eo,DEO,latin
shain,HAN,latin
yol,QUAT,latin
ychol,QUAT,latin
qotcheol,NOCERAT,latin
teedy,SITIS,latin
keeey,BIS,latin
qolchedy,NASUS,latin
chkeeey,BIS,latin
dchschy,SIC,latin
opchaldy,ALTUS,latin
lteedy,SITIS,latin
olteedy,SITIS,latin
olkeeey,BIS,latin
techedy,SITIS,latin
olkeechey,BIS,latin
chllo,LO,latin
polkeeey,BIS,latin
lkeeey,BIS,latin
lkeechey,BIS,latin
keechey,BIS,latin
cholkeeey,BIS,latin
oteor,LEO,latin
otoldy,LATUS,latin
qolchey,NAS,latin
qoor,NOX,latin
chr,DA,latin
cheeey,DIES,latin
toy,TOS,latin
alol,ALOE,latin
teody,SANC,latin
oor,VER,latin
keeody,BINUS,latin
solchedy,SALSUS,latin
tshedy,THUS,latin
cheeos,DIES,latin
koldy,BOLUS,latin
qodal,NONAE,latin
otaldy,LATUS,latin
qoly,NAS,latin
ochor,VER,latin
kchody,ANNUS,latin
oteodar,LAVAR,occitan
chedam,DUM,latin
sody,SANC,latin
okoy,FAC,latin
cher,DA,latin
cheoldy,DENS,latin
alal,ALOE,latin
alkaiin,ALBUM,latin
qos,NAS,latin
teor,CERA,latin
ochol,FEL,latin
okoly,FAC,latin
dalchedy,LATUS,latin
teeedy,SITIS,latin
tchos,TOS,latin
otcheor,LEO,latin
tshdy,THUS,latin
kaldy,BOLUS,latin
tos,TOS,latin
qoody,NODUS,latin
okeoly,FAC,latin
teeody,SIDUS,latin
solchey,SANC,latin
oeody,VERIS,latin
okchoy,FAC,latin
cheaiin,DUM,latin
qoeor,NOX,latin
rodaiin,RENUM,latin
sodaiin,SANUM,latin
tcheor,CERA,latin
okolchy,FAC,latin
sodal,SANAT,latin
tedaiin,SEVUM,latin
otodar,LAVAR,occitan
todal,SANAT,latin
teodal,SANAT,latin
shoor,HORA,latin
oiir,VER,latin
tedam,CUM,latin
doiir,VER,latin
dalol,ALOE,latin
olkeeody,BINUS,latin
lkeeody,BINUS,latin
tcheody,SANC,latin
choor,VER,latin
dalal,ALOE,latin
dcheeos,DIES,latin
schody,SANC,latin
chkoldy,BOLUS,latin
chochor,VER,latin
dcheeey,DIES,latin
otchodar,LAVAR,occitan
opalal,ALOE,latin
qolchy,NAS,latin
lchedam,DUM,latin
opalkaiin,ALBUM,latin
olteody,SANC,latin
kair,BAIR,occitan
oos,VETUS,latin
olkair,BAIR,occitan
lkair,BAIR,occitan
shory,RES,latin
sholdy,ALIUS,latin
sory,FORS,latin
okan,FACAN,latin
yshey,HEC,occitan
kos,GAS,latin
shos,SED,latin
ydain,LAIN,occitan
shodain,LAIN,occitan
ycho,DEO,latin
shoaiin,AMARA,latin
ypchol,DAT,latin
ydy,ALIUS,latin
dals,SED,latin
ychain,DANS,latin
dalor,LOR,occitan
shan,HAN,latin
qotcho,SCABIE,latin
cholo,LO,latin
qoteeey,NOCEIS,latin
ycheor,DECOR,latin
schey,DES,occitan
ysheor,HORROR,latin
sols,FLOS,latin
qodair,LAUR,latin
sam,AM,latin
qopchor,DEA,latin
qopol,FUIT,latin
koaiin,GAUM,latin
qoteeol,NOCEERAT,latin
qodar,DICIT,latin
chodaly,ALS,occitan
okary,ET,latin
shkaiin,HCUM,latin
cheory,RES,latin
qokshy,NOCHS,latin
shokchy,BONUS,latin
sheeor,HIOR,latin
shoky,AC,occitan
otan,LAN,latin
qoeeey,NOEIS,latin
shees,HIS,occitan
chotols,SED,latin
ytaly,ET,latin
ysho,HABE,occitan
qoar,AD,latin
oees,FIS,latin
qoair,AURUM,latin
sos,OS,latin
dady,ALIUS,latin
ytody,CORTICE,latin
qoos,OS,latin
keor,GEOR,latin
cheodaiin,OLEUM,latin
qopchy,ARIETE,latin
sheodaiin,FUMUM,latin
tey,TES,latin
ytchody,CORTICE,latin
cheen,DIN,latin
orchey,DES,occitan
sary,ARS,latin
ytol,TERTIO,latin
yaiin,AMARA,latin
ykey,GENUS,latin
ypchy,ARIETE,latin
odol,FUAT,latin
oody,FNUS,latin
osain,AN,occitan
otydy,ALIUS,latin
tshol,THAT,latin
odl,FUT,latin
ykchor,GRADU,latin
ydal,DICIT,latin
ykor,GRADU,latin
okos,FACAS,latin
okshy,FACHS,latin
shoty,SIC,latin
ychy,DIES,latin
dydy,ALIUS,latin
tshor,THOR,latin
koly,ET,latin
okear,FACEAR,latin
oain,FAN,latin
kan,GAN,latin
qopchey,DES,occitan
orom,OM,latin
ykair,BAIR,occitan
shotchy,SENECIO,latin
daram,RAMUS,latin
qodam,DICERE,latin
soy,FAC,latin
keeor,GIOR,latin
chool,FUIT,latin
qoain,AN,occitan
eor,RECIPE,latin
cheeol,DIAT,latin
okaldy,ALIUS,latin
qokeees,NOCIES,latin
daror,RORIS,latin
qotshy,NOCHS,latin
shdaiin,HUUM,latin
darom,OM,latin
ychoy,DOSIS,latin
shosaiin,SUMMA,latin
qoteeody,SIDUS,latin
qotshey,NOCHS,latin
sheoy,FAC,latin
soaiin,FAMA,latin
shokaiin,AM,latin
ypchey,DES,occitan
yteol,TERAT,latin
ytchol,TERTIO,latin
teeol,TEERAT,latin
qokoldy,BOLUS,latin
ykain,BAIN,occitan
kshol,GHAT,latin
okeal,FACEAT,latin
sshey,HEC,occitan
oeeey,FEIS,latin
odor,FUOR,latin
ypchedy,DEUS,latin
chekedy,DECTIS,latin
rchedy,DEUS,latin
ypchdy,DATUS,latin
chekaiin,DECUM,latin
ytchdy,THUS,latin
okeeos,SED,latin
ysaiin,SUMMA,latin
ysheey,HIS,occitan
okeshy,FACEHS,latin
cheokeey,BIS,latin
soly,FLOS,latin
shepchy,ARIETE,latin
kody,GNUS,latin
rchey,DES,occitan
qokeeor,RECIPE,latin
dairy,ET,latin
qokees,NOCIS,latin
rair,AURUM,latin
chekey,DECS,latin
keeol,GEERAT,latin
saiir,AER,latin
arar,AD,latin
als,SED,latin
shedal,DICIT,latin
oedy,FTIS,latin
otas,LAS,occitan
alaiin,AMARA,latin
okeos,SED,latin
eos,SED,latin
shokey,GENUS,latin
qokaldy,BOLUS,latin
chekeedy,DECITIS,latin
shekal,CALE,latin
darar,RARO,latin
oram,AM,latin
yl,QUT,latin
okes,FACES,latin
chesy,ET,latin
ykchdy,ACUTUS,latin
orair,AURUM,latin
qorain,RAN,latin
oral,AL,occitan
rom,OM,latin
otoly,ET,latin
ykchody,ANNUS,latin
choror,RORIS,latin
sholy,ET,latin
cheoky,AC,occitan
shotol,TERTIO,latin
oteeol,LIAT,latin
qolain,AN,occitan
qokeedar,AD,latin
chls,SED,latin
qolkain,BAIN,occitan
sarol,FUIT,latin
cheodal,DICIT,latin
ykchey,GENS,latin
chekody,DECNUS,latin
das,SED,latin
okoldy,ALIUS,latin
aram,AM,latin
schedy,DEUS,latin
arol,FUIT,latin
arody,FIDES,latin
alshey,HEC,occitan
ycheoky,AC,occitan
schdy,DATUS,latin
shekey,GENUS,latin
ykeeody,BINUS,latin
sheols,FLOS,latin
kary,ET,latin
qopor,OR,occitan
otoy,LAS,occitan
sheokey,FOCES,latin
sarar,AD,latin
ypar,AD,latin
qotaly,ET,latin
qotody,CORTICE,latin
kshdy,GHUS,latin
otary,ET,latin
raraiin,AMARA,latin
qoedy,EIUS,latin
alody,FIDES,latin
otedol,LAUAT,latin
ochedy,FTIS,latin
aldar,DICIT,latin
qolkeey,BIS,latin
daldaiin,OLEUM,latin
osaiin,AMARA,latin
shekeey,BIS,latin
qokdy,NOCUS,latin
shokeey,BIS,latin
ypair,AURUM,latin
alchey,DES,occitan
otees,LIS,latin
choshy,HIC,latin
qodain,LAIN,occitan
qotchody,CORTICE,latin
rcheey,DIS,latin
olr,RECIPE,latin
solkaiin,AM,latin
ykeeey,BIS,latin
eody,ALIUS,latin
tchodaiin,OLEUM,latin
cheodar,DICIT,latin
shodol,LAEDIT,latin
cheodain,LAIN,occitan
oteees,LIES,latin
shoar,AD,latin
sodar,ODAR,occitan
otos,LAS,occitan
shodal,DICIT,latin
qopchol,DAT,latin
pcheodar,DICIT,latin
qoeol,ERAT,latin
yey,ES,latin
ychedy,DEUS,latin
cheoar,AD,latin
shoey,ES,latin
sher,RECIPE,latin
arary,ARS,latin
cheoly,ET,latin
alam,AM,latin
otalal,AL,occitan
orar,AD,latin
okalal,AL,occitan
dalar,AD,latin
osal,AL,occitan
oteeor,LIOR,latin
otalor,OR,occitan
cheekey,DICS,latin
alkar,GARUM,occitan
yteor,CERA,latin
shokar,GARUM,occitan
okalody,FIDES,latin
alom,OM,latin
okalor,OR,occitan
skaiin,AM,latin
shokal,CALE,latin
dalam,AM,latin
ykaly,ET,latin
alor,OR,occitan
dairal,AL,occitan
alar,AD,latin
qolaiin,AMARA,latin
qokairor,OR,occitan
qoal,AL,occitan
cheoey,ES,latin
qokeal,NOCEAT,latin
aldaiin,OLEUM,latin
qokeos,NOCEAS,latin
okalar,AD,latin
qokeeos,SED,latin
shety,SIC,latin
rary,ARS,latin
chekeey,DECIS,latin
qokeeody,BINUS,latin
qopaiin,AMARA,latin
sheodal,FUAT,latin
dairody,FIDES,latin
sshedy,HEUS,latin
okshedy,FACHTIS,latin
shedar,DICIT,latin
dalaiin,AMARA,latin
oteeos,LIAS,latin
saral,AURAT,latin
ycheody,DECUS,latin
chedaly,ALS,occitan
qokeeedy,NOCITIS,latin
oeey,FIS,latin
oteeody,LINUS,latin
otory,ET,latin
cheoty,SIC,latin
ycheeo,DEO,latin
otairor,OR,occitan
darol,ROTA,latin
shkeey,HCIS,latin
okeodar,DICIT,latin
dalo,LO,latin
cheyky,AC,occitan
chsdy,ALIUS,latin
aiiny,ET,latin
qoteor,CERA,latin
okeodal,DICIT,latin
okeear,FACIAR,latin
sheeody,HINUS,latin
otes,LAS,occitan
sheeey,HIS,occitan
alain,AN,occitan
qokeeol,NOCEOT,latin
cheols,SED,latin
cheokey,GENUS,latin
cheesy,ET,latin
saraiin,AMARA,latin
otear,LAAR,latin
saly,ALS,occitan
qokshdy,NOCHUS,latin
qokan,NOCAN,occitan
qokshedy,NOCHTIS,latin
okalol,FUIT,latin
solkedy,GENUS,latin
yshedy,HEUS,latin
rshedy,HEUS,latin
sokeedy,FACITIS,latin
dalkar,GARUM,occitan
chealy,ET,latin
ycheedy,DIUS,latin
okshey,FACHS,latin
chekain,DECAN,latin
qokas,NOCAS,latin
ysheedy,HUIUS,latin
rorol,FORAT,latin
solkeey,FACITIS,latin
qotees,NOCIS,latin
qoeeedy,NOEITIS,latin
roiin,VINUM,latin
okeeedy,FACITIS,latin
qolkeedy,BIS,latin
alchedy,DEUS,latin
san,SAN,latin
qodeedy,NOUITIS,latin
sheoky,FACIS,latin
qoteeedy,SITIS,latin
qokear,NOCEAR,latin
qopshedy,HEUS,latin
qolky,AC,occitan
rsheedy,HUIUS,latin
yched,DEUS,latin
solkeedy,FACITIS,latin
okaral,AL,occitan
loeey,IS,latin
chedol,FUIT,latin
qokl,NOCT,latin
qotshdy,THUS,latin
aror,OR,occitan
ychedar,DECOR,latin
kas,GAS,latin
qotshedy,THUS,latin
oteeedy,LITIS,latin
otshdy,LHUS,latin
otaram,AM,latin
qokshey,NOCHS,latin
cheokain,BAIN,occitan
oeedy,FITIS,latin
ocheey,FIS,latin
keeedy,GEITIS,latin
okory,ET,latin
otalshedy,HEUS,latin
solkain,BAIN,occitan
oroly,FLOS,latin
roly,FLOS,latin
shkain,HCAN,latin
oraiiin,AMARA,latin
qokeedal,AL,occitan
solshedy,HEUS,latin
qotedaiin,SEVUM,latin
dalshdy,HIS,occitan
otedaiin,LAUUM,latin
oror,OR,occitan
qopar,AD,latin
otarar,AD,latin
yteeody,SIDUS,latin
qoteody,SANC,latin
araiin,AMARA,latin
alky,AC,occitan
qopcheey,DIS,latin
airody,FIDES,latin
cheedaiin,DIUUM,latin
soraiin,FORMA,latin
chekol,DECAT,latin
sheom,OM,latin
shokol,GRATIA,latin
qoeeor,NOIOR,latin
shekain,BAIN,occitan
alkain,BAIN,occitan
shedain,LAIN,occitan
chosaiin,SUMMA,latin
daiindy,ALIUS,latin
qoeeody,NOINUS,latin
sarain,AN,occitan
oteal,LAAT,latin
cheekain,DICAN,latin
oteeey,LIS,latin
qokedaiin,NOCEUUM,latin
sairy,ET,latin
oleedy,FTITIS,latin
qoiin,NOMN,latin
qokedain,NOCEUAN,latin
alkeedy,BIS,latin
charam,AM,latin
charain,AN,occitan
okedaiin,FACEUUM,latin
okedain,FACEUAN,latin
raram,AM,latin
qokeain,NOCEAN,latin
qokeedain,AN,occitan
daraiin,AMARA,latin
kcheor,GEOR,latin
ochody,FNUS,latin
chykey,GENUS,latin
kchos,GAS,latin
chydy,ALIUS,latin
opydy,ALIUS,latin
okchan,FACAN,latin
otchos,LAS,occitan
chals,SED,latin
qopchar,AD,latin
dychedy,DEUS,latin
shetchy,SIC,latin
qokalchdy,BOLUS,latin
ychdy,ALIUS,latin
choody,FNUS,latin
chokan,FACAN,latin
pochedy,FTIS,latin
chodol,FUAT,latin
olalor,OR,occitan
dorar,AD,latin
choeey,FIS,latin
dcheoky,AC,occitan
lshety,SIC,latin
dalom,OM,latin
dshees,HIS,occitan
rolchy,FLOS,latin
lkeeor,GIOR,latin
otches,LAS,occitan
chalkar,GARUM,occitan
olkeeor,GIOR,latin
choedy,FTIS,latin
olkeeedy,GEITIS,latin
qochedy,EIUS,latin
kcheeor,GIOR,latin
lkeeol,GEERAT,latin
alchor,OR,occitan
lkeeedy,GEITIS,latin
toror,TERRA,latin
oeor,VER,latin
tchols,TRES,latin
qoekedy,NOCTIS,latin
seor,SEX,latin
sharam,HORAM,latin
tcheos,TRES,latin
salol,SOLEL,latin
aloees,ARIES,latin
chedor,DUO,latin
scheor,SEX,latin
scheol,SOL,latin
pchodol,FUAT,latin
shod,HAT,latin
shoshy,HAHS,latin
sey,SES,latin
kodaiin,GAUAMN,latin
kod,GAT,latin
yto,QUCO,latin
okaiir,FCAMR,latin
shok,HAC,latin
ro,RO,latin
doin,LAIN,occitan
far,JAR,latin
okay,FCAS,latin
kokaiin,GACAMN,latin
deeo,LIO,latin
koshey,GAHES,latin
chok,DAC,latin
chodo,DAUO,latin
otcho,FCO,latin
ytoldy,QUCATUS,latin
ykody,QUCAUS,latin
so,SO,latin
yor,QUAR,latin
an,AN,occitan
kcho,GO,latin
qopal,NAPAT,latin
qotoy,NACAS,latin
ykoaiin,QUCAAMN,latin
daiidy,LAMUS,latin
ees,IS,latin
een,IN,latin
eeor,IAR,latin
chekeol,DECEAT,latin
shoo,HAO,latin
chodair,DAUAIR,latin
sheam,HEAM,latin
ytoy,QUCAS,latin
tydy,TSUS,latin
koraiin,GARAMN,latin
sheyr,HESR,latin
ksheo,GHEO,latin
kchoy,GAS,latin
ytchoy,QUCAS,latin
torchy,TARS,latin
qokoy,NACAS,latin
qotcheo,NACEO,latin
qotoeey,NACAIS,latin
ykoiin,QUCAMN,latin
cheotol,DEACAT,latin
foar,JAAR,latin
kshor,GHAR,latin
ykeor,QUCEAR,latin
yaiir,QUAMR,latin
odam,FUAM,latin
ychar,QUAR,latin
shool,HAAT,latin
oeeo,FIO,latin
ychear,QUEAR,latin
ytchos,QUCAS,latin
yodaiin,QUAUAMN,latin
ytcho,QUCO,latin
oam,FAM,latin
fchodaiin,JAUAMN,latin
shopchey,HAPES,latin
dold,LATT,latin
qokcho,NACO,latin
oaiir,FAMR,latin
kchod,GAT,latin
oeear,FIAR,latin
sheod,HEAT,latin
dais,LAIS,latin
keeo,GIO,latin
chopy,DAPS,latin
choto,DACO,latin
ocho,FO,latin
kchokchy,GACS,latin
chsey,DSES,latin
scheaiin,SEAMN,latin
chean,DEAN,latin
cheain,DEAIN,latin
sorain,SARAIN,latin
chodey,DAUES,latin
toiin,TAMN,latin
qotod,NACAT,latin
chokcho,DACO,latin
chod,DAT,latin
oeees,FIES,latin
toldy,TATUS,latin
ksheody,GHEAUS,latin
kaiiin,GAMIN,latin
ytoiin,QUCAMN,latin
shoiin,HAMN,latin
soody,SAAUS,latin
qokchd,NACT,latin
ksho,GHO,latin
torshor,TARHAR,latin
ytshy,QUCHS,latin
ykoly,QUCATS,latin
oko,FCO,latin
qokod,NACAT,latin
dairo,LAIRO,latin
soiiin,SAMIN,latin
oir,FIR,latin
soshy,SAHS,latin
fchol,JAT,latin
koiin,GAMN,latin
ypchor,QUPAR,latin
ykykaiin,QUCSCAMN,latin
ykshy,QUCHS,latin
dydydy,LSUSUS,latin
dardy,LARUS,latin
chokshor,DACHAR,latin
keoy,GEAS,latin
oro,FRO,latin
qotchod,NACAT,latin
dairin,LAIRIN,latin
ydair,QUUAIR,latin
ychekchy,QUECS,latin
tsho,THO,latin
ychody,QUAUS,latin
qokcheo,NACEO,latin
olo,FTO,latin
eees,IES,latin
oshor,FHAR,latin
otchdal,FCUAT,latin
qoeees,NAIES,latin
ykcho,QUCO,latin
ykam,QUCAM,latin
chordy,DARUS,latin
qokorar,NACARAR,latin
yd,QUT,latin
odaiir,FUAMR,latin
chetody,DECAUS,latin
